,Coal,Gas,Wind,Solar,Nuclear,,Total,,,,
,,,,,,,,,,,
6/18/2025,"  99,872 ","  231,719 ","  44,339 ","  41,204 ","  93,173 ",,"  552,225 ",,,,
6/17/2025,"  96,266 ","  222,808 ","  50,245 ","  40,061 ","  93,387 ",,"  543,960 ",,,,
6/16/2025,"  90,245 ","  215,971 ","  38,393 ","  40,372 ","  94,284 ",,"  519,726 ",,,,
6/15/2025,"  82,771 ","  192,633 ","  40,146 ","  36,229 ","  94,456 ",,"  484,189 ",,,,
6/14/2025,"  83,344 ","  194,514 ","  47,228 ","  36,714 ","  94,030 ",,"  494,026 ",,,,
6/13/2025,"  88,066 ","  205,325 ","  47,814 ","  38,803 ","  94,176 ",,"  515,928 ",,,,
6/12/2025,"  90,193 ","  214,091 ","  45,162 ","  37,114 ","  93,390 ",,"  519,200 ",,,,
6/11/2025,"  86,108 ","  206,759 ","  47,453 ","  38,271 ","  92,941 ",,"  510,786 ",,,,
6/10/2025,"  87,581 ","  209,314 ","  38,195 ","  37,327 ","  92,944 ",,"  504,652 ",,,,
6/9/2025,"  82,317 ","  203,048 ","  47,423 ","  41,427 ","  91,946 ",,"  506,042 ",,,,
6/8/2025,"  75,073 ","  189,238 ","  52,300 ","  40,419 ","  90,757 ",,"  485,016 ",,,,
6/7/2025,"  82,691 ","  203,730 ","  37,616 ","  41,508 ","  91,622 ",,"  496,032 ",,,,
6/6/2025,"  90,359 ","  227,336 ","  28,287 ","  40,174 ","  89,973 ",,"  518,491 ",,,,
6/5/2025,"  86,388 ","  220,404 ","  31,625 ","  34,940 ","  90,147 ",,"  506,157 ",,,,
6/4/2025,"  81,531 ","  206,985 ","  37,949 ","  35,326 ","  89,521 ",,"  491,903 ",,,,
6/3/2025,"  70,414 ","  179,946 ","  69,387 ","  38,726 ","  88,519 ",,"  488,330 ",,,,
6/2/2025,"  65,226 ","  173,460 ","  64,039 ","  40,275 ","  89,403 ",,"  474,045 ",,,,
6/1/2025,"  65,791 ","  168,173 ","  35,586 ","  38,505 ","  89,219 ",,"  437,396 ",,,,
5/31/2025,"  62,982 ","  176,112 ","  33,433 ","  41,494 ","  87,289 ",,"  441,627 ",,,,
5/30/2025,"  70,079 ","  196,359 ","  33,412 ","  36,114 ","  87,339 ",,"  466,727 ",,,,
5/29/2025,"  76,427 ","  195,904 ","  32,403 ","  33,981 ","  86,044 ",,"  465,432 ",,,,
5/28/2025,"  77,009 ","  192,498 ","  28,052 ","  32,713 ","  86,797 ",,"  459,899 ",,,,
5/27/2025,"  68,312 ","  181,948 ","  40,722 ","  34,478 ","  87,380 ",,"  454,821 ",,,,
5/26/2025,"  64,163 ","  161,838 ","  44,041 ","  33,647 ","  86,015 ",,"  426,990 ",,,,
5/25/2025,"  61,051 ","  154,595 ","  53,917 ","  35,557 ","  85,717 ",,"  428,236 ",,,,
5/24/2025,"  65,089 ","  158,277 ","  53,914 ","  39,234 ","  84,831 ",,"  438,849 ",,,,
5/23/2025,"  64,880 ","  170,736 ","  57,383 ","  43,175 ","  85,496 ",,"  463,359 ",,,,
5/22/2025,"  67,611 ","  179,357 ","  59,943 ","  40,579 ","  84,799 ",,"  473,390 ",,,,
5/21/2025,"  69,831 ","  179,410 ","  61,763 ","  38,765 ","  85,342 ",,"  476,736 ",,,,
5/20/2025,"  68,284 ","  179,770 ","  64,598 ","  40,454 ","  85,285 ",,"  479,347 ",,,,
5/19/2025,"  62,692 ","  162,118 ","  79,563 ","  37,058 ","  85,790 ",,"  468,610 ",,,,
5/18/2025,"  60,045 ","  148,755 ","  74,332 ","  33,703 ","  84,888 ",,"  438,001 ",,,,
5/17/2025,"  64,969 ","  165,090 ","  69,458 ","  34,800 ","  83,372 ",,"  457,860 ",,,,
5/16/2025,"  72,071 ","  187,424 ","  67,389 ","  38,247 ","  83,662 ",,"  493,427 ",,,,
5/15/2025,"  75,344 ","  181,014 ","  69,195 ","  38,370 ","  83,047 ",,"  491,034 ",,,,
5/14/2025,"  75,477 ","  171,229 ","  67,222 ","  37,202 ","  81,973 ",,"  473,671 ",,,,
5/13/2025,"  71,690 ","  160,667 ","  69,196 ","  36,017 ","  81,308 ",,"  460,264 ",,,,
5/12/2025,"  71,249 ","  161,374 ","  52,326 ","  35,584 ","  81,429 ",,"  443,568 ",,,,
5/11/2025,"  59,741 ","  143,315 ","  42,619 ","  37,390 ","  81,566 ",,"  403,849 ",,,,
5/10/2025,"  62,802 ","  148,686 ","  39,289 ","  40,007 ","  80,796 ",,"  409,037 ",,,,
5/9/2025,"  72,185 ","  174,512 ","  29,279 ","  39,779 ","  81,292 ",,"  439,816 ",,,,
5/8/2025,"  72,153 ","  176,375 ","  32,458 ","  38,343 ","  81,277 ",,"  442,465 ",,,,
5/7/2025,"  71,379 ","  170,388 ","  31,642 ","  37,034 ","  81,192 ",,"  431,292 ",,,,
5/6/2025,"  68,591 ","  167,982 ","  40,360 ","  31,716 ","  81,256 ",,"  431,223 ",,,,
5/5/2025,"  64,696 ","  155,580 ","  56,014 ","  27,776 ","  81,226 ",,"  425,654 ",,,,
5/4/2025,"  58,072 ","  136,750 ","  57,096 ","  31,499 ","  81,089 ",,"  400,210 ",,,,
5/3/2025,"  64,795 ","  157,235 ","  35,498 ","  35,143 ","  80,603 ",,"  409,702 ",,,,
5/2/2025,"  67,860 ","  166,627 ","  53,893 ","  34,024 ","  79,865 ",,"  441,855 ",,,,
5/1/2025,"  71,625 ","  177,069 ","  43,651 ","  34,873 ","  79,358 ",,"  445,755 ",,,,
4/30/2025,"  69,335 ","  171,238 ","  48,593 ","  35,163 ","  79,108 ",,"  443,764 ",,,,
4/29/2025,"  63,832 ","  161,204 ","  68,389 ","  34,797 ","  78,873 ",,"  442,866 ",,,,
4/28/2025,"  56,808 ","  146,122 ","  85,484 ","  36,448 ","  79,091 ",,"  440,148 ",,,,
4/27/2025,"  54,920 ","  131,050 ","  74,806 ","  34,834 ","  79,434 ",,"  408,200 ",,,,
4/26/2025,"  57,257 ","  148,550 ","  63,310 ","  32,901 ","  78,662 ",,"  416,671 ",,,,
4/25/2025,"  67,121 ","  162,996 ","  54,198 ","  31,792 ","  80,000 ",,"  436,655 ",,,,
4/24/2025,"  68,428 ","  164,094 ","  48,991 ","  34,078 ","  80,572 ",,"  435,876 ",,,,
4/23/2025,"  68,567 ","  158,796 ","  53,372 ","  36,235 ","  80,183 ",,"  436,124 ",,,,
4/22/2025,"  66,185 ","  151,629 ","  60,790 ","  37,235 ","  80,411 ",,"  435,468 ",,,,
4/21/2025,"  64,100 ","  151,248 ","  57,946 ","  38,041 ","  79,525 ",,"  428,859 ",,,,
4/20/2025,"  57,671 ","  132,939 ","  60,327 ","  34,599 ","  79,365 ",,"  401,228 ",,,,
4/19/2025,"  64,652 ","  139,104 ","  58,578 ","  30,017 ","  79,965 ",,"  408,079 ",,,,
4/18/2025,"  60,565 ","  131,707 ","  80,507 ","  32,577 ","  79,963 ",,"  424,603 ",,,,
4/17/2025,"  59,160 ","  129,870 ","  86,197 ","  36,232 ","  80,390 ",,"  431,859 ",,,,
4/16/2025,"  59,896 ","  135,625 ","  76,690 ","  39,040 ","  79,508 ",,"  429,088 ",,,,
4/15/2025,"  62,399 ","  140,416 ","  71,853 ","  35,431 ","  78,821 ",,"  428,299 ",,,,
4/14/2025,"  61,187 ","  135,083 ","  76,328 ","  35,801 ","  78,905 ",,"  429,062 ",,,,
4/13/2025,"  56,944 ","  120,322 ","  75,766 ","  35,371 ","  80,469 ",,"  408,005 ",,,,
4/12/2025,"  59,392 ","  126,440 ","  74,087 ","  34,289 ","  81,212 ",,"  413,922 ",,,,
4/11/2025,"  70,418 ","  157,092 ","  45,791 ","  37,817 ","  82,732 ",,"  435,811 ",,,,
4/10/2025,"  69,493 ","  153,631 ","  46,989 ","  37,700 ","  83,716 ",,"  434,241 ",,,,
4/9/2025,"  68,106 ","  141,465 ","  61,182 ","  38,054 ","  84,572 ",,"  435,834 ",,,,
4/8/2025,"  66,021 ","  147,977 ","  56,910 ","  39,464 ","  84,963 ",,"  435,955 ",,,,
4/7/2025,"  69,486 ","  165,880 ","  43,363 ","  32,987 ","  84,271 ",,"  436,141 ",,,,
4/6/2025,"  71,280 ","  148,222 ","  44,774 ","  28,134 ","  83,267 ",,"  412,537 ",,,,
4/5/2025,"  69,190 ","  141,944 ","  74,000 ","  22,823 ","  82,186 ",,"  425,594 ",,,,
4/4/2025,"  79,138 ","  170,188 ","  50,855 ","  24,925 ","  81,960 ",,"  445,472 ",,,,
4/3/2025,"  73,884 ","  167,995 ","  63,792 ","  24,743 ","  80,537 ",,"  448,618 ",,,,
4/2/2025,"  70,210 ","  161,820 ","  74,328 ","  25,012 ","  79,832 ",,"  450,087 ",,,,
4/1/2025,"  64,447 ","  142,555 ","  82,999 ","  27,459 ","  79,753 ",,"  438,213 ",,,,
3/31/2025,"  71,531 ","  164,057 ","  47,590 ","  29,055 ","  79,254 ",,"  433,959 ",,,,
3/30/2025,"  64,731 ","  142,380 ","  60,079 ","  24,334 ","  78,505 ",,"  409,690 ",,,,
3/29/2025,"  62,024 ","  132,024 ","  71,906 ","  25,593 ","  77,692 ",,"  408,280 ",,,,
3/28/2025,"  61,612 ","  145,193 ","  70,511 ","  27,708 ","  80,152 ",,"  425,312 ",,,,
3/27/2025,"  65,834 ","  152,706 ","  65,211 ","  29,700 ","  80,263 ",,"  431,911 ",,,,
3/26/2025,"  70,621 ","  161,610 ","  50,064 ","  33,575 ","  80,512 ",,"  433,934 ",,,,
3/25/2025,"  73,863 ","  164,955 ","  38,755 ","  36,155 ","  80,989 ",,"  432,091 ",,,,
3/24/2025,"  63,303 ","  157,362 ","  62,210 ","  31,487 ","  79,009 ",,"  431,272 ",,,,
3/23/2025,"  60,328 ","  128,170 ","  77,006 ","  27,591 ","  79,658 ",,"  409,377 ",,,,
3/22/2025,"  59,719 ","  124,962 ","  74,765 ","  32,061 ","  79,624 ",,"  407,748 ",,,,
3/21/2025,"  63,145 ","  135,456 ","  80,179 ","  35,123 ","  81,385 ",,"  434,729 ",,,,
3/20/2025,"  67,415 ","  147,712 ","  61,284 ","  31,510 ","  81,850 ",,"  429,070 ",,,,
3/19/2025,"  61,313 ","  132,923 ","  80,492 ","  28,871 ","  84,958 ",,"  425,874 ",,,,
3/18/2025,"  61,631 ","  133,857 ","  85,365 ","  31,077 ","  85,319 ",,"  433,415 ",,,,
3/17/2025,"  60,714 ","  141,553 ","  80,701 ","  28,365 ","  85,069 ",,"  433,177 ",,,,
3/16/2025,"  59,251 ","  140,848 ","  58,185 ","  26,276 ","  85,140 ",,"  404,071 ",,,,
3/15/2025,"  53,882 ","  130,007 ","  81,602 ","  22,743 ","  86,732 ",,"  407,907 ",,,,
3/14/2025,"  60,583 ","  140,977 ","  83,813 ","  24,130 ","  86,356 ",,"  432,674 ",,,,
3/13/2025,"  67,641 ","  151,805 ","  62,193 ","  27,801 ","  86,738 ",,"  430,897 ",,,,
3/12/2025,"  72,121 ","  147,775 ","  53,602 ","  30,595 ","  86,829 ",,"  427,158 ",,,,
3/11/2025,"  68,723 ","  134,092 ","  71,393 ","  32,247 ","  86,373 ",,"  428,560 ",,,,
3/10/2025,"  69,607 ","  153,145 ","  61,555 ","  31,161 ","  85,996 ",,"  437,893 ",,,,
3/9/2025,"  72,915 ","  146,545 ","  51,803 ","  28,801 ","  87,077 ",,"  420,704 ",,,,
3/8/2025,"  74,989 ","  141,406 ","  64,669 ","  27,296 ","  86,799 ",,"  428,377 ",,,,
3/7/2025,"  83,344 ","  161,595 ","  63,063 ","  26,703 ","  86,764 ",,"  458,855 ",,,,
3/6/2025,"  80,397 ","  159,701 ","  76,123 ","  26,527 ","  86,603 ",,"  465,589 ",,,,
3/5/2025,"  74,318 ","  159,604 ","  69,826 ","  21,552 ","  86,815 ",,"  448,802 ",,,,
3/4/2025,"  72,374 ","  149,479 ","  81,740 ","  23,032 ","  87,502 ",,"  449,657 ",,,,
3/3/2025,"  75,292 ","  160,474 ","  79,816 ","  24,650 ","  88,288 ",,"  465,725 ",,,,
3/2/2025,"  70,766 ","  148,926 ","  69,875 ","  29,339 ","  87,544 ",,"  442,106 ",,,,
3/1/2025,"  72,042 ","  147,111 ","  45,853 ","  32,151 ","  88,126 ",,"  419,118 ",,,,
2/28/2025,"  68,937 ","  143,840 ","  64,745 ","  32,640 ","  88,348 ",,"  435,257 ",,,,
2/27/2025,"  73,592 ","  148,838 ","  63,257 ","  27,792 ","  88,990 ",,"  439,187 ",,,,
2/26/2025,"  74,917 ","  142,400 ","  70,885 ","  28,190 ","  89,441 ",,"  441,812 ",,,,
2/25/2025,"  82,775 ","  154,093 ","  52,238 ","  31,429 ","  89,507 ",,"  444,961 ",,,,
2/24/2025,"  87,857 ","  162,467 ","  61,194 ","  26,557 ","  89,280 ",,"  463,858 ",,,,
2/23/2025,"  90,855 ","  170,913 ","  53,390 ","  26,576 ","  90,676 ",,"  466,934 ",,,,
2/22/2025,"  106,229 ","  193,214 ","  51,596 ","  26,768 ","  91,065 ",,"  504,208 ",,,,
2/21/2025,"  123,978 ","  237,064 ","  42,143 ","  27,948 ","  91,075 ",,"  558,421 ",,,,
2/20/2025,"  131,716 ","  248,465 ","  40,658 ","  27,116 ","  91,119 ",,"  578,158 ",,,,
2/19/2025,"  127,446 ","  241,760 ","  51,830 ","  18,740 ","  91,074 ",,"  570,025 ",,,,
2/18/2025,"  118,213 ","  200,564 ","  63,390 ","  21,780 ","  91,129 ",,"  531,078 ",,,,
2/17/2025,"  108,761 ","  178,442 ","  72,359 ","  27,801 ","  91,055 ",,"  515,054 ",,,,
2/16/2025,"  96,955 ","  160,096 ","  66,681 ","  23,105 ","  90,858 ",,"  470,377 ",,,,
2/15/2025,"  96,287 ","  162,239 ","  68,755 ","  16,538 ","  92,046 ",,"  471,751 ",,,,
2/14/2025,"  97,054 ","  189,466 ","  77,097 ","  21,283 ","  92,171 ",,"  513,163 ",,,,
2/13/2025,"  105,929 ","  212,916 ","  57,743 ","  14,758 ","  91,765 ",,"  522,195 ",,,,
2/12/2025,"  108,034 ","  222,108 ","  46,568 ","  13,607 ","  91,508 ",,"  520,459 ",,,,
2/11/2025,"  103,960 ","  216,831 ","  45,177 ","  14,068 ","  91,459 ",,"  510,526 ",,,,
2/10/2025,"  99,079 ","  204,201 ","  33,610 ","  18,630 ","  92,960 ",,"  485,960 ",,,,
2/9/2025,"  87,262 ","  178,593 ","  39,244 ","  20,076 ","  94,240 ",,"  452,890 ",,,,
2/8/2025,"  77,145 ","  161,141 ","  69,653 ","  19,652 ","  94,462 ",,"  455,727 ",,,,
2/7/2025,"  80,991 ","  179,690 ","  54,961 ","  21,283 ","  94,960 ",,"  465,831 ",,,,
2/6/2025,"  82,083 ","  180,881 ","  65,002 ","  20,899 ","  95,124 ",,"  477,153 ",,,,
2/5/2025,"  87,649 ","  190,642 ","  51,663 ","  17,687 ","  96,035 ",,"  478,982 ",,,,
2/4/2025,"  78,208 ","  179,147 ","  56,634 ","  21,110 ","  96,479 ",,"  463,505 ",,,,
2/3/2025,"  70,901 ","  168,755 ","  71,287 ","  21,945 ","  96,538 ",,"  462,436 ",,,,
2/2/2025,"  76,884 ","  168,740 ","  59,081 ","  22,191 ","  96,660 ",,"  453,237 ",,,,
2/1/2025,"  67,592 ","  156,154 ","  77,828 ","  22,410 ","  96,729 ",,"  449,139 ",,,,
1/31/2025,"  74,236 ","  172,155 ","  67,563 ","  19,596 ","  95,512 ",,"  460,483 ",,,,
1/30/2025,"  90,993 ","  181,032 ","  52,980 ","  19,928 ","  95,260 ",,"  473,880 ",,,,
1/29/2025,"  95,225 ","  191,152 ","  40,930 ","  19,511 ","  95,325 ",,"  474,381 ",,,,
1/28/2025,"  97,451 ","  194,414 ","  48,534 ","  19,787 ","  96,048 ",,"  488,994 ",,,,
1/27/2025,"  100,955 ","  191,128 ","  60,911 ","  18,343 ","  96,760 ",,"  500,919 ",,,,
1/26/2025,"  109,116 ","  187,533 ","  47,202 ","  16,392 ","  96,836 ",,"  486,877 ",,,,
1/25/2025,"  109,623 ","  191,811 ","  77,122 ","  18,549 ","  96,997 ",,"  527,223 ",,,,
1/24/2025,"  120,486 ","  220,292 ","  68,636 ","  23,533 ","  97,031 ",,"  565,489 ",,,,
1/23/2025,"  126,037 ","  248,038 ","  52,237 ","  21,691 ","  97,082 ",,"  587,085 ",,,,
1/22/2025,"  125,411 ","  253,564 ","  70,076 ","  21,454 ","  97,162 ",,"  617,075 ",,,,
1/21/2025,"  135,356 ","  260,502 ","  59,456 ","  19,172 ","  97,170 ",,"  624,901 ",,,,
1/20/2025,"  136,634 ","  233,013 ","  57,805 ","  22,001 ","  97,105 ",,"  591,181 ",,,,
1/19/2025,"  117,528 ","  184,279 ","  57,744 ","  20,928 ","  96,386 ",,"  511,246 ",,,,
1/18/2025,"  98,848 ","  152,586 ","  80,668 ","  16,867 ","  95,344 ",,"  475,243 ",,,,
1/17/2025,"  102,572 ","  161,211 ","  88,837 ","  18,966 ","  95,377 ",,"  499,241 ",,,,
1/16/2025,"  117,070 ","  194,384 ","  56,068 ","  21,507 ","  96,512 ",,"  523,963 ",,,,
