Year,DC_Mean,DC_Upper,DC_Lower,Coal_TWh,Natural_Gas_TWh,Nuclear_TWh,Hydro_TWh,Solar_TWh,LBNL_historical,EPRI_historical,IEA_2025,BCG,Jeffries,BNEF
2013,,,,,,,,,,,,,,
2014,46.36045684023321,50.996502524256535,41.72441115620989,1.39,57.38,16.25,1.3,1.3,64.21,28.51,,,,28.507221076149506
2015,50.14767374921158,55.16244112413274,45.13290637429042,1.32,54.55,15.48,1.24,1.24,67.55,32.75,,,,32.749439857026594
2016,64.2124718845945,70.63371907305397,57.79122469613506,1.32,54.43,15.44,1.23,1.23,69.78,,,74.53,75.09500588757864,37.43672886453061
2017,68.71124715831054,75.5823718741416,61.84012244247949,1.3,53.5,15.17,1.21,1.21,74.5,,,74.4,81.65723755360979,44.28993668902363
2018,76.84598528997353,84.53058381897088,69.16138676097617,1.35,55.8,15.83,1.26,1.26,84.06,,,73.93,100.4910837798497,48.90346195877952
2019,80.54376341701126,88.59813975871239,72.48938707531013,1.34,55.18,15.65,1.25,1.25,94.88,,,75.12,96.52064290228512,55.64739765810032
2020,95.27236625699982,104.7996028826998,85.74512963129983,1.27,52.61,14.93,1.19,1.19,109.21,75.33,,119.26,119.25752328558254,69.01459792651428
2021,115.9486416476439,127.5435058124083,104.35377748287952,1.39,57.49,16.31,1.3,1.3,144.77,,,90.21,130.3033677790597,85.15301373925689
2022,156.40564279690693,172.04620707659765,140.76507851721624,1.3,57.58,16.25,1.3,1.3,184.08,107.73,,144.8,144.80017393744254,102.50487293474144
2023,161.05296707294448,177.15826378023894,144.94767036565003,,,,,1.93,,164.48,,151.54,196.8195932030624,118.40798731701128
2024,225.17220015292187,247.68942016821407,202.65498013762968,,,,,2.66,329.24,182.34,,149.95,252.3828136400797,146.48051259157586
2025,250.91331003544377,276.0046410389881,225.8219790318994,1.46,65.76,18.62,1.49,1.49,,164.91,180.03,404.45,285.5653307429501,180.02514478087537
2026,292.0933629575064,321.30269925325706,262.88402666175574,,,,,,262.12,191.69,,175.39,333.8081469888169,213.9654136777885
2027,340.3995985877871,374.43955844656585,306.3596387290084,,,,,,,210.9,,183.7,382.4548944384214,244.1304352396481
2028,393.4792369790917,432.8271606770009,354.1313132811825,,,,,,,231.57,,192.58,437.1348491982852,274.5206300680469
2029,398.7427552273264,438.61703075005903,358.86847970459377,,,,,,854.44,470.04,,316.38,470.0350494941978,301.0360914259202
2030,478.11055135708375,525.9216064927922,430.29949622137536,,,,,,1054.87,534.31,,408.48,534.3112439692875,326.6436249684717
