Year,DC_Mean,DC_Upper,DC_Lower,Coal_TWh,Natural_Gas_TWh,Nuclear_TWh,Hydro_TWh,Solar_TWh,LBNL_historical,LBNL_low,LBNL_high,IEA_x,BCG_low,BCG_x,EPRI_historical,EPRI_low,EPRI_moderate,EPRI_high,EPRI_higher,Jeffries_x,Goldman_Sachs,IEA_2025,BNEF_x,LBNL_low,LBNL_high,IEA_y,IEA_y.1,BCG_low,BCG_y,EPRI_low,EPRI_moderate,EPRI_high,EPRI_higher,Jeffries_y,Goldman_Sachs,BNEF_y
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,46.36045684023321,50.996502524256535,41.72441115620989,1.39,57.38,16.25,1.3,1.3,64.21,,,,,,28.51,,,,,,,,,,,,,,,,,,,,,28.507221076149506
2015,50.14767374921158,55.16244112413274,45.13290637429042,1.32,54.55,15.48,1.24,1.24,67.55,,,,,,32.75,,,,,,,,,,,,,,,,,,,,,32.749439857026594
2016,64.2124718845945,70.63371907305397,57.79122469613506,1.32,54.43,15.44,1.23,1.23,69.78,,,,75.1,74.53,,37.44,,,,,,,,,,,,,,,,,,75.09500588757864,74.5334975131758,37.43672886453061
2017,68.71124715831054,75.5823718741416,61.84012244247949,1.3,53.5,15.17,1.21,1.21,74.5,,,,81.66,74.4,,44.29,,,,,,,,,,,,,,,,,,81.65723755360979,74.39780532458424,44.28993668902363
2018,76.84598528997353,84.53058381897088,69.16138676097617,1.35,55.8,15.83,1.26,1.26,84.06,,,,100.49,73.93,,48.9,,,,,,,,,,,,,,,,,,100.4910837798497,73.93258506817037,48.90346195877952
2019,80.54376341701126,88.59813975871239,72.48938707531013,1.34,55.18,15.65,1.25,1.25,94.88,,,,96.52,75.12,,55.65,,,,,,,,,,,,,,,,,,96.52064290228512,75.12321536249995,55.64739765810032
2020,95.27236625699982,104.7996028826998,85.74512963129983,1.27,52.61,14.93,1.19,1.19,109.21,,,84.78,,119.26,75.33,,114.04,69.01,,,,,,,,,114.0410115865522,,,,,,,119.25752328558254,75.33172573574024,69.01459792651428
2021,115.9486416476439,127.5435058124083,104.35377748287952,1.39,57.49,16.31,1.3,1.3,144.77,,,130.3,,90.21,,129.3,85.15,,,,,,,,,,129.30343397039425,,,,,,,130.3033677790597,90.21277665739036,85.15301373925689
2022,156.40564279690693,172.04620707659765,140.76507851721624,1.3,57.58,16.25,1.3,1.3,184.08,184.08,184.08,199.47,,144.8,107.73,,144.51,102.5,,,,,,184.07687907650865,184.07687907650865,199.4652982868608,144.51142896455673,,,,,,,144.80017393744254,107.73273102212812,102.50487293474144
2023,161.05296707294448,177.15826378023894,144.94767036565003,,,,,1.93,,119.7,,196.82,128.42,151.54,164.48,118.41,,,,,,,,194.6162043129649,214.4448902341712,,164.48010181339797,,,,,,,196.8195932030624,128.41595222222094,118.40798731701128
2024,225.17220015292187,247.68942016821407,202.65498013762968,,,,,2.66,329.24,329.52,119.6,,252.38,149.95,182.34,284.52,194.68,146.48,,,,,,224.07189491842547,264.1091805246922,,194.6847642092125,329.24399815568563,329.5229435113226,,,,,252.38281364007972,149.94805578777496,146.48051259157586
2025,250.91331003544377,276.0046410389881,225.8219790318994,1.46,65.76,18.62,1.49,1.49,,254.07,324.13,,353.99,404.45,164.91,167.64,175.04,183.08,285.57,180.72,228.46,180.03,,254.06967993572223,324.13302438999625,,263.9155314930144,353.98552742438505,404.4544648312504,164.91470271367243,167.63945801075255,175.04144014146954,183.07970351984665,285.5653307429501,180.7212200358121,180.02514478087537
2026,292.0933629575064,321.30269925325706,262.88402666175574,,,,,,262.12,428.99,479.87,,171.27,175.39,191.69,209.63,333.81,214.46,296.47,409.7,304.69,,,284.7923570260493,404.5677690496768,262.12100914584454,304.6865994136815,428.98580640426775,479.8742777835691,171.27231798788748,175.38829525196118,191.6872034109863,209.6285638017568,333.8081469888169,214.4588458172212,213.9654136777885
2027,340.3995985877871,374.43955844656585,306.3596387290084,,,,,,,504.34,579.31,,176.83,183.7,210.9,240.48,382.45,252.08,375.5,472.27,354.78,,,304.2827126150336,484.5362743668294,,354.7842483347973,504.3418673410482,579.3136076364034,176.82856021803786,183.7012406181937,210.9001583581897,240.4775736679697,382.4548944384214,252.07765184062492,244.1304352396481
2028,393.4792369790917,432.8271606770009,354.1313132811825,,,,,,,628.93,704.0,,183.21,192.58,231.57,275.75,437.13,288.42,454.72,534.35,394.57,,,329.8415604539496,579.1171227027526,,394.5731220380184,628.926980753597,704.0031915229852,183.214254959786,192.57862432999823,231.5661245110476,275.7452412434652,437.1348491982852,288.41789533372344,274.5206300680469
2029,398.7427552273264,438.61703075005903,358.86847970459377,,,,,,854.44,,190.45,202.0,253.96,316.38,470.04,326.56,517.64,,424.76,301.04,,,,,,,424.7575122232707,528.9002159036836,854.4441953050189,190.44680984271807,202.00333724070543,253.96424426791685,316.38368865533334,470.0350494941978,326.5607078765533,301.0360914259202
2030,478.11055135708375,525.9216064927922,430.29949622137536,,,,,,1054.87,,200.91,218.03,301.02,408.48,534.31,366.05,610.24,,434.68,326.64,,,,,,,434.6842338174568,803.9864310840006,1054.866996469472,200.9061706658917,218.02927300182947,301.0159009761986,408.4764062978412,534.3112439692875,366.0535702275002,326.6436249684717
